"Title","Type","Status","Week","Due Date","Topics","Student View","Release Date","Tools","Workload","Duration","Content Ready","Notes","Content"
"GAI-E06: Advanced Visualization","Assignment","Planning",6,10/16/25 02:00 PM,"Advanced chart types - exploratory data analysis - mini-EDA","Hidden",10/09/25 06:00 PM,"ChatGPT/Claude","Heavy",180,10/07/25 06:00 PM,"Released Thursday evening - due before Week 7 Thursday (no Tuesday class)","Advanced visualization with AI

Additional Ideas to Cover:
- Advanced Visualization Demo: Dataset suitable for advanced chart techniques — Live demonstration creating box plots for group comparisons, subplot arrays for multiple variables, customized charts with proper styling. Students follow along experimenting with advanced techniques. Choose dataset where advanced visualizations reveal insights not visible in basic charts. Include guidance on when complexity is justified vs when simple charts are better. — Creating complex visualizations
- Advanced Charts Prep: Advanced visualization examples and use cases — Prepare presentation on advanced visualization techniques: box plots for distribution comparison, subplot arrays for multiple comparisons, customization for clarity and impact. Include examples of when advanced techniques are necessary vs overkill. Cover design principles: color choice, layout, accessibility considerations. Show examples from research papers, business reports, journalism where advanced visualizations effectively communicate complex information. — Box plots, subplots, customization techniques
- EDA Process Prep: Complete EDA workflow examples — Prepare presentation on systematic exploratory data analysis: standard process for approaching new dataset, questions to ask in sequence, how different analyses build on each other. Cover EDA workflow: data loading Ã¢ÂÂ initial exploration Ã¢ÂÂ cleaning Ã¢ÂÂ univariate analysis Ã¢ÂÂ bivariate analysis Ã¢ÂÂ pattern identification Ã¢ÂÂ hypothesis formation. Include examples showing how systematic approach reveals insights that ad-hoc exploration might miss. — Systematic data exploration, EDA methodology
- Complete EDA Demo: Rich dataset for comprehensive exploration — Live demonstration of complete EDA process on rich dataset. Walk through systematic exploration: data loading, cleaning, univariate analysis (distributions, summary stats), bivariate analysis (correlations, group comparisons), multivariate patterns, insight synthesis. Students observe expert analytical thinking process, suggest next steps, discuss interpretation of findings. Choose dataset complex enough to require systematic approach but manageable in class time. — Full exploratory data analysis walkthrough
- Independent EDA Lab Prep: Dataset options, presentation guidelines — Prepare dataset options for student EDA projects, presentation guidelines for sharing findings, rubrics for evaluating independent work. Include backup support for students who struggle with open-ended exploration. Create structure for brief student presentations of their findings. Provide troubleshooting guidance for complex data issues that might arise during independent work. — TA materials for independent exploration"
"Probability Foundations","Lecture","Planning",7,10/16/25 03:15 PM,"Chance - uncertainty - everyday probability","Hidden",10/16/25 02:00 PM,"Python","Medium",75,10/14/25 02:00 PM,"Week 7 Thursday (no class Tuesday)","From daily uncertainty to mathematical probability

Additional Ideas to Cover:
- Probability Foundations Lecture Prep: Slides connecting daily uncertainty to mathematical probability — Create mini-lecture (25 min) connecting everyday uncertainty to mathematical probability. Cover: why probability matters in data science, basic probability rules (0-1 scale, addition/multiplication), introduction to simulation. Include familiar examples: weather predictions, sports, games. Prepare for interactive discussion about uncertainty in students' lives. — Probability rules, simulation basics
- Probability in Action Problem Session: 45-min problem-solving session with probability examples — Design live problem-solving session (45 min) starting with familiar examples. Include step-by-step probability calculations, live coding of simple simulations, paired work for students to create probability experiments. Focus on making abstract concepts concrete through hands-on practice. — Live coding, probability calculations, paired work
- Lab: Probability Experiments: TA-led hands-on simulations and understanding checks — Design 55-min lab session: hands-on simulations (35 min) with coin flips, dice, card draws. Understanding check (15 min): 'Explain when you'd use simulation vs calculation.' Real-world connection (5 min): probability in data science applications. Emphasize seeing probability patterns emerge through repeated experiments. — Simulation, probability verification"
"Probability Experiments and Simulations","Lab","Planning",7,10/17/25 02:30 PM,"Hands-on simulations + understanding check","Hidden",10/17/25 09:00 AM,"Python","Medium",55,10/15/25 09:00 AM,"Week 7 Friday lab","Probability simulations practice

Additional Ideas to Cover:
- Lab: Probability Experiments: TA-led hands-on simulations and understanding checks — Design 55-min lab session: hands-on simulations (35 min) with coin flips, dice, card draws. Understanding check (15 min): 'Explain when you'd use simulation vs calculation.' Real-world connection (5 min): probability in data science applications. Emphasize seeing probability patterns emerge through repeated experiments. — Simulation, probability verification
- Probability in Action Problem Session: 45-min problem-solving session with probability examples — Design live problem-solving session (45 min) starting with familiar examples. Include step-by-step probability calculations, live coding of simple simulations, paired work for students to create probability experiments. Focus on making abstract concepts concrete through hands-on practice. — Live coding, probability calculations, paired work
- Probability Foundations Lecture Prep: Slides connecting daily uncertainty to mathematical probability — Create mini-lecture (25 min) connecting everyday uncertainty to mathematical probability. Cover: why probability matters in data science, basic probability rules (0-1 scale, addition/multiplication), introduction to simulation. Include familiar examples: weather predictions, sports, games. Prepare for interactive discussion about uncertainty in students' lives. — Probability rules, simulation basics"
"GAI-E07: Probability","Assignment","Planning",7,10/21/25 02:00 PM,"Everyday probability - basic probability concepts - data science applications","Hidden",10/16/25 06:00 PM,"ChatGPT/Claude","Heavy",240,10/14/25 06:00 PM,"Released Thursday evening - due before Week 8 Tuesday (extended time)","Understanding probability and uncertainty

Additional Ideas to Cover:
- Probability in Action Problem Session: 45-min problem-solving session with probability examples — Design live problem-solving session (45 min) starting with familiar examples. Include step-by-step probability calculations, live coding of simple simulations, paired work for students to create probability experiments. Focus on making abstract concepts concrete through hands-on practice. — Live coding, probability calculations, paired work
- Probability Foundations Lecture Prep: Slides connecting daily uncertainty to mathematical probability — Create mini-lecture (25 min) connecting everyday uncertainty to mathematical probability. Cover: why probability matters in data science, basic probability rules (0-1 scale, addition/multiplication), introduction to simulation. Include familiar examples: weather predictions, sports, games. Prepare for interactive discussion about uncertainty in students' lives. — Probability rules, simulation basics
- Lab: Probability Experiments: TA-led hands-on simulations and understanding checks — Design 55-min lab session: hands-on simulations (35 min) with coin flips, dice, card draws. Understanding check (15 min): 'Explain when you'd use simulation vs calculation.' Real-world connection (5 min): probability in data science applications. Emphasize seeing probability patterns emerge through repeated experiments. — Simulation, probability verification"
"Sampling & Distributions","Lecture","Planning",8,10/21/25 03:15 PM,"Populations vs samples - sampling methods","Hidden",10/21/25 02:00 PM,"Python","Medium",75,10/19/25 02:00 PM,"Week 8 Tuesday","From real world to data

Additional Ideas to Cover:
- Sampling & Distributions Lecture Prep: Mini-lecture on real world to data process — Create 25-min mini-lecture on 'From Real World to Data.' Cover: population vs sample concepts, why we can't measure everything, good vs biased sampling methods, sample quality impact on conclusions, introduction to sampling error. Use real survey examples for illustration. — Population vs sample, sampling methods
- Data Distributions Lecture Prep: 20-min lecture on reading data stories — Create 20-min mini-lecture on 'The Shape of Data Stories.' Cover: why distribution shape matters, normal vs skewed distributions, how shape affects summary statistics choice, outliers as friends or foes. Prepare examples of different distribution types. — Distribution shapes, central tendency, outliers
- Lab: Sampling & Distributions: TA-led sampling variability and distribution analysis — Design 55-min lab: sampling simulation (25 min) taking many samples from same population to see variation. Distribution exploration (25 min) creating histograms of different data types. Understanding check (5 min): 'Why do different samples give different results?' — Sampling simulation, distribution exploration
- Designing Good Samples Session: 45-min interactive work on sampling design — Design live problem-solving session (45 min) analyzing real examples of good/bad sampling. Students design sampling strategies for different research questions. Include interactive evaluation of survey methods and paired work critiquing sampling approaches from news/studies. — Sampling strategies, bias evaluation
- Distribution Analysis Session: 50-min hands-on distribution exploration — Design live problem-solving session (50 min) exploring datasets with different shapes. Create and interpret histograms together, compare mean vs median in different situations. Include paired work finding interesting patterns in real data distributions. — Histograms, mean vs median, real data patterns"
"Data Distributions and Central Tendency","Lecture","Planning",8,10/23/25 03:15 PM,"Data distributions - shapes - central tendency","Hidden",10/23/25 02:00 PM,"Python","Medium",75,10/21/25 02:00 PM,"Week 8 Thursday","The shape of data stories

Additional Ideas to Cover:
- Sampling & Distributions Lecture Prep: Mini-lecture on real world to data process — Create 25-min mini-lecture on 'From Real World to Data.' Cover: population vs sample concepts, why we can't measure everything, good vs biased sampling methods, sample quality impact on conclusions, introduction to sampling error. Use real survey examples for illustration. — Population vs sample, sampling methods
- Data Distributions Lecture Prep: 20-min lecture on reading data stories — Create 20-min mini-lecture on 'The Shape of Data Stories.' Cover: why distribution shape matters, normal vs skewed distributions, how shape affects summary statistics choice, outliers as friends or foes. Prepare examples of different distribution types. — Distribution shapes, central tendency, outliers
- Lab: Sampling & Distributions: TA-led sampling variability and distribution analysis — Design 55-min lab: sampling simulation (25 min) taking many samples from same population to see variation. Distribution exploration (25 min) creating histograms of different data types. Understanding check (5 min): 'Why do different samples give different results?' — Sampling simulation, distribution exploration
- Designing Good Samples Session: 45-min interactive work on sampling design — Design live problem-solving session (45 min) analyzing real examples of good/bad sampling. Students design sampling strategies for different research questions. Include interactive evaluation of survey methods and paired work critiquing sampling approaches from news/studies. — Sampling strategies, bias evaluation
- Distribution Analysis Session: 50-min hands-on distribution exploration — Design live problem-solving session (50 min) exploring datasets with different shapes. Create and interpret histograms together, compare mean vs median in different situations. Include paired work finding interesting patterns in real data distributions. — Histograms, mean vs median, real data patterns"
"Sampling Practice and Distribution Analysis","Lab","Planning",8,10/24/25 02:30 PM,"Sampling simulation + distribution exploration","Hidden",10/24/25 09:00 AM,"Python","Medium",55,10/22/25 09:00 AM,"Week 8 Friday lab","See sampling variation + create histograms

Additional Ideas to Cover:
- Distribution Analysis Session: 50-min hands-on distribution exploration — Design live problem-solving session (50 min) exploring datasets with different shapes. Create and interpret histograms together, compare mean vs median in different situations. Include paired work finding interesting patterns in real data distributions. — Histograms, mean vs median, real data patterns
- Lab: Sampling & Distributions: TA-led sampling variability and distribution analysis — Design 55-min lab: sampling simulation (25 min) taking many samples from same population to see variation. Distribution exploration (25 min) creating histograms of different data types. Understanding check (5 min): 'Why do different samples give different results?' — Sampling simulation, distribution exploration
- Sampling & Distributions Lecture Prep: Mini-lecture on real world to data process — Create 25-min mini-lecture on 'From Real World to Data.' Cover: population vs sample concepts, why we can't measure everything, good vs biased sampling methods, sample quality impact on conclusions, introduction to sampling error. Use real survey examples for illustration. — Population vs sample, sampling methods
- Data Distributions Lecture Prep: 20-min lecture on reading data stories — Create 20-min mini-lecture on 'The Shape of Data Stories.' Cover: why distribution shape matters, normal vs skewed distributions, how shape affects summary statistics choice, outliers as friends or foes. Prepare examples of different distribution types. — Distribution shapes, central tendency, outliers
- Designing Good Samples Session: 45-min interactive work on sampling design — Design live problem-solving session (45 min) analyzing real examples of good/bad sampling. Students design sampling strategies for different research questions. Include interactive evaluation of survey methods and paired work critiquing sampling approaches from news/studies. — Sampling strategies, bias evaluation"
"GAI-E08: Sampling & Distributions","Assignment","Planning",8,10/28/25 02:00 PM,"Sampling concepts - sampling bias - data distributions","Hidden",10/23/25 06:00 PM,"ChatGPT/Claude","Heavy",240,10/21/25 06:00 PM,"Released Thursday evening - due before Week 9 Tuesday","From populations to samples to distributions

Additional Ideas to Cover:
- Sampling & Distributions Lecture Prep: Mini-lecture on real world to data process — Create 25-min mini-lecture on 'From Real World to Data.' Cover: population vs sample concepts, why we can't measure everything, good vs biased sampling methods, sample quality impact on conclusions, introduction to sampling error. Use real survey examples for illustration. — Population vs sample, sampling methods
- Designing Good Samples Session: 45-min interactive work on sampling design — Design live problem-solving session (45 min) analyzing real examples of good/bad sampling. Students design sampling strategies for different research questions. Include interactive evaluation of survey methods and paired work critiquing sampling approaches from news/studies. — Sampling strategies, bias evaluation
- Distribution Analysis Session: 50-min hands-on distribution exploration — Design live problem-solving session (50 min) exploring datasets with different shapes. Create and interpret histograms together, compare mean vs median in different situations. Include paired work finding interesting patterns in real data distributions. — Histograms, mean vs median, real data patterns
- Data Distributions Lecture Prep: 20-min lecture on reading data stories — Create 20-min mini-lecture on 'The Shape of Data Stories.' Cover: why distribution shape matters, normal vs skewed distributions, how shape affects summary statistics choice, outliers as friends or foes. Prepare examples of different distribution types. — Distribution shapes, central tendency, outliers
- Lab: Sampling & Distributions: TA-led sampling variability and distribution analysis — Design 55-min lab: sampling simulation (25 min) taking many samples from same population to see variation. Distribution exploration (25 min) creating histograms of different data types. Understanding check (5 min): 'Why do different samples give different results?' — Sampling simulation, distribution exploration"
"Statistical Inference Basics","Lecture","Planning",9,10/28/25 03:15 PM,"From sample to population - bootstrap introduction","Hidden",10/28/25 02:00 PM,"Python","Medium",75,10/26/25 02:00 PM,"Week 9 Tuesday","The great leap: sample to population

Additional Ideas to Cover:
- Statistical Inference Lecture Prep: 25-min lecture on the great leap from sample to population — Create mini-lecture on 'The Great Leap: Sample to Population.' Cover: why statistical inference is like educated guessing, sampling variability explanation, bootstrap introduction, logic of using samples to understand populations. Use election polling as concrete example. — Sample to population, bootstrap logic
- Mini-Exam #2: Statistical Foundations: 25-min exam on statistical concepts — Create 25-min exam covering: probability basics, sampling methods and bias, distribution interpretation, basic inference concepts. No AI tools allowed. Focus on conceptual understanding rather than calculations. Include accommodation-friendly formats. Gateway to advanced statistical methods. — Probability, sampling, distributions, basic inference
- Bootstrap Discovery Session: 45-min hands-on bootstrap exploration — Design live problem-solving session (45 min) starting with simple example like mean height from sample. Show bootstrap resampling process step-by-step with live coding. Include paired work for students to interpret bootstrap distributions and understand variability. — Bootstrap resampling, live coding, interpretation
- Confidence Intervals Session: 50-min hands-on confidence interval practice — Design live problem-solving session (50 min) creating confidence intervals from bootstrap distributions. Interpret intervals in context of real problems, compare different confidence levels (90%, 95%, 99%). Include paired work for students to explain intervals to each other. — Interval creation, interpretation, confidence levels
- Bootstrap & Confidence Lecture Prep: 20-min lecture on quantifying uncertainty — Create 20-min mini-lecture on 'Quantifying Our Uncertainty.' Cover: from bootstrap distribution to confidence intervals, what intervals do/don't tell us, common misconceptions about confidence levels, building statistical intuition about uncertainty. — Confidence intervals, uncertainty quantification"
"Bootstrap and Confidence Concepts","Lecture","Planning",9,10/30/25 03:15 PM,"Understanding uncertainty","Hidden",10/30/25 02:00 PM,"Python","Medium",75,10/28/25 02:00 PM,"Week 9 Thursday","Quantifying our uncertainty

Additional Ideas to Cover:
- Statistical Inference Lecture Prep: 25-min lecture on the great leap from sample to population — Create mini-lecture on 'The Great Leap: Sample to Population.' Cover: why statistical inference is like educated guessing, sampling variability explanation, bootstrap introduction, logic of using samples to understand populations. Use election polling as concrete example. — Sample to population, bootstrap logic
- Bootstrap Discovery Session: 45-min hands-on bootstrap exploration — Design live problem-solving session (45 min) starting with simple example like mean height from sample. Show bootstrap resampling process step-by-step with live coding. Include paired work for students to interpret bootstrap distributions and understand variability. — Bootstrap resampling, live coding, interpretation
- Confidence Intervals Session: 50-min hands-on confidence interval practice — Design live problem-solving session (50 min) creating confidence intervals from bootstrap distributions. Interpret intervals in context of real problems, compare different confidence levels (90%, 95%, 99%). Include paired work for students to explain intervals to each other. — Interval creation, interpretation, confidence levels
- Bootstrap & Confidence Lecture Prep: 20-min lecture on quantifying uncertainty — Create 20-min mini-lecture on 'Quantifying Our Uncertainty.' Cover: from bootstrap distribution to confidence intervals, what intervals do/don't tell us, common misconceptions about confidence levels, building statistical intuition about uncertainty. — Confidence intervals, uncertainty quantification
- Mini-Exam #2: Statistical Foundations: 25-min exam on statistical concepts — Create 25-min exam covering: probability basics, sampling methods and bias, distribution interpretation, basic inference concepts. No AI tools allowed. Focus on conceptual understanding rather than calculations. Include accommodation-friendly formats. Gateway to advanced statistical methods. — Probability, sampling, distributions, basic inference"
"Course Checkpoint #2","Lab","Planning",9,10/31/25 02:30 PM,"Statistical foundations + confidence intervals practice","Hidden",10/31/25 09:00 AM,"Python","Heavy",55,10/29/25 09:00 AM,"Week 9 Friday exam","Assessment + bootstrap confidence intervals

Additional Ideas to Cover:
- Lab: Bootstrap & Mini-Exam #2: Bootstrap practice plus 25-min exam — Design 55-min session: Mini-Exam #2 first (25 min) on statistical foundations concepts. Bootstrap practice (20 min) creating confidence intervals for different statistics. Reflection and next steps (10 min) addressing questions about inference. Exam covers probability through basic inference. — Bootstrap practice, statistical foundations exam
- Statistical Inference Lecture Prep: 25-min lecture on the great leap from sample to population — Create mini-lecture on 'The Great Leap: Sample to Population.' Cover: why statistical inference is like educated guessing, sampling variability explanation, bootstrap introduction, logic of using samples to understand populations. Use election polling as concrete example. — Sample to population, bootstrap logic
- Bootstrap Discovery Session: 45-min hands-on bootstrap exploration — Design live problem-solving session (45 min) starting with simple example like mean height from sample. Show bootstrap resampling process step-by-step with live coding. Include paired work for students to interpret bootstrap distributions and understand variability. — Bootstrap resampling, live coding, interpretation
- Confidence Intervals Session: 50-min hands-on confidence interval practice — Design live problem-solving session (50 min) creating confidence intervals from bootstrap distributions. Interpret intervals in context of real problems, compare different confidence levels (90%, 95%, 99%). Include paired work for students to explain intervals to each other. — Interval creation, interpretation, confidence levels
- Bootstrap & Confidence Lecture Prep: 20-min lecture on quantifying uncertainty — Create 20-min mini-lecture on 'Quantifying Our Uncertainty.' Cover: from bootstrap distribution to confidence intervals, what intervals do/don't tell us, common misconceptions about confidence levels, building statistical intuition about uncertainty. — Confidence intervals, uncertainty quantification"
"GAI-E09: Inference & Bootstrap","Assignment","Planning",9,11/04/25 02:00 PM,"Inference problem - bootstrap introduction - bootstrap implementation","Hidden",10/30/25 06:00 PM,"ChatGPT/Claude","Heavy",240,10/28/25 06:00 PM,"Released Thursday evening - due before Week 10 Tuesday","From sample to population logic

Additional Ideas to Cover:
- Statistical Inference Lecture Prep: 25-min lecture on the great leap from sample to population — Create mini-lecture on 'The Great Leap: Sample to Population.' Cover: why statistical inference is like educated guessing, sampling variability explanation, bootstrap introduction, logic of using samples to understand populations. Use election polling as concrete example. — Sample to population, bootstrap logic
- Bootstrap Discovery Session: 45-min hands-on bootstrap exploration — Design live problem-solving session (45 min) starting with simple example like mean height from sample. Show bootstrap resampling process step-by-step with live coding. Include paired work for students to interpret bootstrap distributions and understand variability. — Bootstrap resampling, live coding, interpretation
- Confidence Intervals Session: 50-min hands-on confidence interval practice — Design live problem-solving session (50 min) creating confidence intervals from bootstrap distributions. Interpret intervals in context of real problems, compare different confidence levels (90%, 95%, 99%). Include paired work for students to explain intervals to each other. — Interval creation, interpretation, confidence levels
- Bootstrap & Confidence Lecture Prep: 20-min lecture on quantifying uncertainty — Create 20-min mini-lecture on 'Quantifying Our Uncertainty.' Cover: from bootstrap distribution to confidence intervals, what intervals do/don't tell us, common misconceptions about confidence levels, building statistical intuition about uncertainty. — Confidence intervals, uncertainty quantification
- Mini-Exam #2: Statistical Foundations: 25-min exam on statistical concepts — Create 25-min exam covering: probability basics, sampling methods and bias, distribution interpretation, basic inference concepts. No AI tools allowed. Focus on conceptual understanding rather than calculations. Include accommodation-friendly formats. Gateway to advanced statistical methods. — Probability, sampling, distributions, basic inference"
"Confidence Intervals & Uncertainty Communication","Lecture","Planning",10,11/04/25 03:15 PM,"What confidence intervals really mean","Hidden",11/04/25 02:00 PM,"Python","Medium",75,11/02/25 02:00 PM,"Week 10 Tuesday","Communicating what we don't know

Additional Ideas to Cover:
- Confidence Intervals Session: 50-min hands-on confidence interval practice — Design live problem-solving session (50 min) creating confidence intervals from bootstrap distributions. Interpret intervals in context of real problems, compare different confidence levels (90%, 95%, 99%). Include paired work for students to explain intervals to each other. — Interval creation, interpretation, confidence levels
- First Data Story Demo: Prepare simple dataset and walkthrough for rain analysis — Prepare interactive demonstration using 'Does it rain more on weekends?' as example question. Walk through all 6 steps: 1) Frame question 2) Collect data 3) Process/clean 4) Explore/analyze 5) Interpret results 6) Communicate findings. Use simple weather dataset that students can understand. Make it discussion-based: students suggest data sources, analysis approaches, potential confounding factors. Goal: show complete data science workflow without overwhelming technical details. — Interactive discussion, weekend rain example
- Course Introduction Prep: Slides for course intro, tools demo, 6-step DS process — Create slides covering: Why data science matters now, course philosophy (AI as learning partner), overview of 6-step data science process with simple example. Include tour of course tools: Blackboard Ultra (grades/announcements), Gradescope (submissions), Piazza (discussion), course website (langd0n.com with Notion board). Set tone for collaborative learning environment. Consider: opening poll about student interests, icebreaker activity, or data science in the news examples. — Course vision, tools tour, data science overview
- Programming Fundamentals Prep: Slides on variables, data types, grading structure — Create slides explaining programming basics for absolute beginners: What is programming (giving instructions to computers), variables as containers for information, data types (numbers, text, true/false) with real-world analogies. Cover course expectations: grading breakdown, accommodation process, academic integrity with AI tools. Include clear explanation of 4-5 hour weekly time commitment and how it's structured. Consider: cooking recipe analogy for programming, container metaphors for variables. — Programming concepts, course expectations, accommodations
- Programming Concepts Demo: Prepare class survey data for table creation exercise — Design hands-on activity using paper/pencil to demonstrate programming concepts. Create class survey (name, major, hometown, favorite color, etc.) and have students organize into table format by hand. Discuss different types of information and how to categorize them. Introduce concept of giving step-by-step instructions. Facilitate tech buddy partnerships for first few weeks. Include time for questions about course structure and expectations. — Paper-based programming practice, tech buddy assignment"
"Introduction to Hypothesis Testing Framework","Lecture","Planning",10,11/06/25 03:15 PM,"Testing claims with data","Hidden",11/06/25 02:00 PM,"Python","Medium",75,11/04/25 02:00 PM,"Week 10 Thursday","Testing claims with data

Additional Ideas to Cover:
- First Data Story Demo: Prepare simple dataset and walkthrough for rain analysis — Prepare interactive demonstration using 'Does it rain more on weekends?' as example question. Walk through all 6 steps: 1) Frame question 2) Collect data 3) Process/clean 4) Explore/analyze 5) Interpret results 6) Communicate findings. Use simple weather dataset that students can understand. Make it discussion-based: students suggest data sources, analysis approaches, potential confounding factors. Goal: show complete data science workflow without overwhelming technical details. — Interactive discussion, weekend rain example
- Course Introduction Prep: Slides for course intro, tools demo, 6-step DS process — Create slides covering: Why data science matters now, course philosophy (AI as learning partner), overview of 6-step data science process with simple example. Include tour of course tools: Blackboard Ultra (grades/announcements), Gradescope (submissions), Piazza (discussion), course website (langd0n.com with Notion board). Set tone for collaborative learning environment. Consider: opening poll about student interests, icebreaker activity, or data science in the news examples. — Course vision, tools tour, data science overview
- Programming Fundamentals Prep: Slides on variables, data types, grading structure — Create slides explaining programming basics for absolute beginners: What is programming (giving instructions to computers), variables as containers for information, data types (numbers, text, true/false) with real-world analogies. Cover course expectations: grading breakdown, accommodation process, academic integrity with AI tools. Include clear explanation of 4-5 hour weekly time commitment and how it's structured. Consider: cooking recipe analogy for programming, container metaphors for variables. — Programming concepts, course expectations, accommodations
- Programming Concepts Demo: Prepare class survey data for table creation exercise — Design hands-on activity using paper/pencil to demonstrate programming concepts. Create class survey (name, major, hometown, favorite color, etc.) and have students organize into table format by hand. Discuss different types of information and how to categorize them. Introduce concept of giving step-by-step instructions. Facilitate tech buddy partnerships for first few weeks. Include time for questions about course structure and expectations. — Paper-based programming practice, tech buddy assignment
- Grading Structure Prep: Detailed slides on portfolio, demos, mini-exams, capstone — Create comprehensive presentation on course assessment philosophy: focus on understanding over memorization, multiple ways to demonstrate learning, growth-oriented approach. Detail grading breakdown: 30% GenAI Exploration Portfolio (completion-based), 25% Friday Understanding Demos (TA-verified), 25% Mini-Exams (3 total), 20% Capstone Project. Explain accommodation process clearly. Emphasize that AI collaboration is encouraged in exploration but prohibited in exams. Include examples of what 'understanding demonstration' looks like. — Assessment philosophy, grading breakdown, accommodations"
"Statistical Inference Comprehensive Practice","Lab","Planning",10,11/07/25 02:30 PM,"Bootstrap to confidence intervals to hypothesis tests","Hidden",11/07/25 09:00 AM,"Python","Medium",55,11/05/25 09:00 AM,"Week 10 Friday lab","Integrated inference practice

Additional Ideas to Cover:
- Tech Setup Lab Prep: Instructions for Jupyter troubleshooting, partnership facilitation — Prepare detailed instructions for TAs on: Jupyter server troubleshooting (common login issues, browser compatibility, password resets), facilitating tech buddy partnerships, basic programming concepts review. Include backup plans for students who can't access Jupyter (paper exercises, observation roles). Create simple programming exercises for students who get connected early. Provide scripts for explaining course tools (Gradescope submission, Piazza posting). Include checklist for ensuring all students have necessary accounts. — TA materials for tech setup and programming intro
- Tech Setup Lab Session: TA-led session for 25 students each — TA facilitates getting all students connected to Jupyter, resolves access issues, helps with course tool setup. Students work in pairs on first programming exercises (creating variables, identifying data types). Practice submitting to Gradescope and posting on Piazza. Focus on building confidence with technical tools while reinforcing programming concepts from Thursday's class. — Tech setup, first programming steps
- Programming Foundations Lab Prep: Final tech resolution protocols, programming practice guidance — Prepare TA materials for final round of tech issue resolution, programming concept reinforcement exercises, mini-assessment protocols. Include exercises for students to practice: variable creation, data type identification, simple list operations. Create understanding check rubrics: can student explain variable concept, demonstrate creating different data types, describe when to use lists. Provide backup activities for any remaining students without Jupyter access. — TA materials for programming foundations
- Programming Foundations Lab Session: Variables, lists, basic operations verification — Final tech issue resolution, hands-on programming practice with variables and lists, mini-assessment to verify understanding. Students demonstrate programming concepts to TA, practice basic operations, get individual help as needed. Focus on building confidence before moving to data tables. — Programming foundations practice
- Data Tables Lab Prep: Understanding check protocols, hands-on practice datasets — Prepare materials for TA to verify student understanding of table concepts and DataFrame operations. Include datasets for hands-on practice, rubrics for understanding checks (can student explain row vs column, create simple DataFrame, identify data quality issues), troubleshooting guides for common pandas errors. Provide structured activities for students to practice DataFrame creation and exploration with different datasets. — TA materials for data tables practice"
"GAI-E10: Confidence & Hypothesis Testing","Assignment","Planning",10,11/11/25 02:00 PM,"Confidence interval mastery - hypothesis testing logic - p-values","Hidden",11/06/25 06:00 PM,"ChatGPT/Claude","Heavy",240,11/04/25 06:00 PM,"Released Thursday evening - due before Week 11 Tuesday","Advanced inference concepts"
"Hypothesis Testing & A/B Testing","Lecture","Planning",11,11/11/25 03:15 PM,"Hypothesis testing in practice","Hidden",11/11/25 02:00 PM,"Python","Medium",75,11/09/25 02:00 PM,"Week 11 Tuesday (Veterans Day - classes in session)","From academic tests to business decisions

Additional Ideas to Cover:
- First Data Story Demo: Prepare simple dataset and walkthrough for rain analysis — Prepare interactive demonstration using 'Does it rain more on weekends?' as example question. Walk through all 6 steps: 1) Frame question 2) Collect data 3) Process/clean 4) Explore/analyze 5) Interpret results 6) Communicate findings. Use simple weather dataset that students can understand. Make it discussion-based: students suggest data sources, analysis approaches, potential confounding factors. Goal: show complete data science workflow without overwhelming technical details. — Interactive discussion, weekend rain example
- Course Introduction Prep: Slides for course intro, tools demo, 6-step DS process — Create slides covering: Why data science matters now, course philosophy (AI as learning partner), overview of 6-step data science process with simple example. Include tour of course tools: Blackboard Ultra (grades/announcements), Gradescope (submissions), Piazza (discussion), course website (langd0n.com with Notion board). Set tone for collaborative learning environment. Consider: opening poll about student interests, icebreaker activity, or data science in the news examples. — Course vision, tools tour, data science overview
- Programming Fundamentals Prep: Slides on variables, data types, grading structure — Create slides explaining programming basics for absolute beginners: What is programming (giving instructions to computers), variables as containers for information, data types (numbers, text, true/false) with real-world analogies. Cover course expectations: grading breakdown, accommodation process, academic integrity with AI tools. Include clear explanation of 4-5 hour weekly time commitment and how it's structured. Consider: cooking recipe analogy for programming, container metaphors for variables. — Programming concepts, course expectations, accommodations
- Programming Concepts Demo: Prepare class survey data for table creation exercise — Design hands-on activity using paper/pencil to demonstrate programming concepts. Create class survey (name, major, hometown, favorite color, etc.) and have students organize into table format by hand. Discuss different types of information and how to categorize them. Introduce concept of giving step-by-step instructions. Facilitate tech buddy partnerships for first few weeks. Include time for questions about course structure and expectations. — Paper-based programming practice, tech buddy assignment
- Grading Structure Prep: Detailed slides on portfolio, demos, mini-exams, capstone — Create comprehensive presentation on course assessment philosophy: focus on understanding over memorization, multiple ways to demonstrate learning, growth-oriented approach. Detail grading breakdown: 30% GenAI Exploration Portfolio (completion-based), 25% Friday Understanding Demos (TA-verified), 25% Mini-Exams (3 total), 20% Capstone Project. Explain accommodation process clearly. Emphasize that AI collaboration is encouraged in exploration but prohibited in exams. Include examples of what 'understanding demonstration' looks like. — Assessment philosophy, grading breakdown, accommodations"
